match_id,year,tournament_id,tournament_name,stage_name,knockout_stage,team_a_id,team_b_id,team_a_name,team_b_name,team_a_elo_pre,team_b_elo_pre,team_a_gf_avg,team_a_ga_avg,team_b_gf_avg,team_b_ga_avg,goals_a,goals_b,penalty_shootout,target,elo_diff,matches_played_diff,win_rate_diff,gf_avg_diff,ga_avg_diff,form_points_diff,experience_diff,host_advantage,h2h_played,h2h_a_win_rate,h2h_goal_diff_avg,same_confederation,team_a_conf,team_b_conf
M-1938-18,1938,WC-1938,1938 FIFA Men's World Cup,final,1,T-41,T-36,Italy,Hungary,1651.313406353459,1614.0711298581912,2.5714285714285716,0.7142857142857143,3.6,1.0,4,2,0,0,37.24227649526779,2,0.19999999999999996,-1.0285714285714285,-0.2857142857142857,0.6000000000000001,0,0,0,,,1,UEFA,UEFA
M-1950-01,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-46,T-09,Mexico,Brazil,1407.2407669798502,1545.9095239112696,1.3333333333333333,4.333333333333333,2.7142857142857144,2.142857142857143,0,4,0,2,-138.66875693141947,-4,-0.5714285714285714,-1.3809523809523812,2.1904761904761902,-1.8,-2,-1,0,,,0,CONCACAF,CONMEBOL
M-1950-02,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-75,T-87,Switzerland,Yugoslavia,1504.799460146407,1515.5392442608754,2.25,2.25,2.3333333333333335,2.3333333333333335,0,3,0,2,-10.73978411446842,1,-0.16666666666666663,-0.08333333333333348,-0.08333333333333348,-0.5,1,0,0,,,1,UEFA,UEFA
M-1950-03,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-13,T-28,Chile,England,1520.2375571031564,1500.0,1.6666666666666667,1.0,,,0,2,0,2,20.237557103156405,3,,,,,1,0,0,,,0,CONMEBOL,UEFA
M-1950-04,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-73,T-83,Spain,United States,1512.2033763502127,1481.963487037872,1.5,1.0,2.0,3.25,3,1,0,0,30.239889312340665,-2,0.0,-0.5,-2.25,0.0,-1,0,0,,,0,UEFA,CONCACAF
M-1950-05,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-74,T-41,Sweden,Italy,1489.2333875429558,1678.1099098139664,3.0,2.6,2.75,0.875,3,2,0,0,-188.87652227101057,-3,-0.6,0.25,1.725,-1.8,0,0,0,,,1,UEFA,UEFA
M-1950-06,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-09,T-75,Brazil,Switzerland,1569.189658757797,1470.8810211044854,2.875,1.875,1.8,2.4,2,2,0,1,98.30863765331151,3,0.22499999999999998,1.075,-0.5249999999999999,1.2,1,1,0,,,0,CONMEBOL,UEFA
M-1950-07,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-87,T-46,Yugoslavia,Mexico,1549.457683302797,1383.9606321333229,2.5,1.75,1.0,4.25,4,1,0,0,165.49705116947416,0,0.75,1.5,-2.5,2.25,0,0,0,,,0,UEFA,CONCACAF
M-1950-08,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-13,T-73,Chile,Spain,1488.4920795689534,1539.598828019249,1.25,1.25,2.0,1.0,0,2,0,2,-51.10674845029553,1,-0.16666666666666663,-0.75,0.25,-0.5,0,0,0,,,0,CONMEBOL,UEFA
M-1950-09,1950,WC-1950,1950 FIFA Men's World Cup,group stage,0,T-83,T-28,United States,England,1454.5680353688358,1531.745477534203,1.8,3.2,2.0,0.0,1,0,0,0,-77.17744216536721,4,-0.6,-0.19999999999999996,3.2,-1.8,2,0,0,,,0,CONCACAF,UEFA
